,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.serial,license_plate.country,license_plate.color,license_plate.mask
11,1740739.jpg,"[0.0, 0.4388888888888889, 0.13671875, 0.7388888888888889]",859f81e3-c6a2-4e13-b0e8-e461fc55231a,fully_visible,1.0,_BG_2172LN,,Serbia,,"[0.04765625, 0.6791666666666667, 0.103125, 0.6583333333333333, 0.103125, 0.6361111111111111, 0.04765625, 0.6555555555555556]"
151,105300195.jpg,"[0.396875, 0.5708333333333333, 0.60703125, 0.8222222222222222]",cae6ccb8-2d2c-48b5-9d03-b4fd2a49682b,fully_visible,1.0,_BG_1153LN,,Serbia,,"[0.46640625, 0.7513888888888889, 0.5359375, 0.7513888888888889, 0.5359375, 0.7263888888888889, 0.465625, 0.7277777777777777]"
205,49797120.jpg,"[0.48125, 0.5736111111111111, 0.70390625, 0.8902777777777777]",2bd727ad-8c77-497a-ae8e-80850d827cc6,fully_visible,1.0,_BG_1592LK,,Serbia,,"[0.546875, 0.7263888888888889, 0.54609375, 0.7541666666666667, 0.60859375, 0.7611111111111111, 0.609375, 0.7319444444444444]"
216,7910400.jpg,"[0.34375, 0.4625, 0.5453125, 0.7805555555555556]",1f701822-81a9-401f-9c98-71fa3d59f995,fully_visible,1.0,_BG_1513ZU,,Serbia,,"[0.4078125, 0.6625, 0.47421875, 0.6638888888888889, 0.47421875, 0.6916666666666667, 0.40625, 0.6861111111111111]"
230,399360962.jpg,"[0.415625, 0.5388888888888889, 0.609375, 0.8277777777777777]",467dd09a-cbbd-410b-af20-c29f744aba05,fully_visible,1.0,_BG_1443JG,,Serbia,,"[0.48515625, 0.6694444444444444, 0.540625, 0.6694444444444444, 0.540625, 0.6916666666666667, 0.48515625, 0.6902777777777778]"
233,226500274.jpg,"[0.375, 0.5555555555555556, 0.59453125, 0.8541666666666666]",fa429702-c2e9-4319-90d0-6d59d500a68e,fully_visible,1.0,_BG_1812SL,,Serbia,,"[0.515625, 0.7708333333333334, 0.515625, 0.8, 0.440625, 0.7930555555555555, 0.44140625, 0.7652777777777777]"
234,167340173.jpg,"[0.3890625, 0.6888888888888889, 0.66484375, 0.9972222222222222]",b420048b-42e4-41b1-9b38-353a0f58dfd5,fully_visible,1.0,_BG_593FV,,Serbia,,"[0.48671875, 0.9152777777777777, 0.58359375, 0.9138888888888889, 0.58359375, 0.8805555555555555, 0.4859375, 0.8861111111111111]"
236,252660408.jpg,"[0.41171875, 0.5347222222222222, 0.62265625, 0.8625]",438b0334-e389-4162-a548-7f860e578e0b,fully_visible,1.0,_BG_850FA,,Serbia,,"[0.484375, 0.6777777777777778, 0.484375, 0.7055555555555556, 0.54765625, 0.7055555555555556, 0.54765625, 0.6777777777777778]"
243,376020645.jpg,"[0.25234375, 0.5513888888888889, 0.553125, 0.9388888888888889]",c56399cf-c1e1-4422-8978-bfff66bc56cf,fully_visible,1.0,_BG_14142TX,,Serbia,,"[0.34375, 0.8194444444444444, 0.4453125, 0.8208333333333333, 0.4453125, 0.7819444444444444, 0.34296875, 0.7805555555555556]"
250,493380888.jpg,"[0.31015625, 0.5833333333333334, 0.5703125, 0.9194444444444444]",39b64163-46bb-4fb2-958b-4f631a664f3d,fully_visible,1.0,_BG_1126XH,,Serbia,,"[0.3828125, 0.7555555555555555, 0.4671875, 0.7555555555555555, 0.4671875, 0.7916666666666666, 0.38203125, 0.7902777777777777]"
1417,7910400.jpg,"[0.790625, 0.42777777777777776, 0.99765625, 0.8569444444444444]",cc962258-f55c-4607-ada9-2c49db51351f,fully_visible,1.0,_BG_696CR,,Serbia,,"[0.88125, 0.6444444444444445, 0.87890625, 0.6861111111111111, 0.95546875, 0.6888888888888889, 0.9578125, 0.65]"
3859,105300195.jpg,"[0.0, 0.6013888888888889, 0.11171875, 0.8333333333333334]",5732f1b9-1b95-4ddf-95dd-9a83f6257872,invisible,,,,Serbia,,
4494,1740739.jpg,"[0.6234375, 0.3, 0.7046875, 0.3972222222222222]",bea20f19-371b-491b-9ff1-8f015642b1db,fully_visible_no_text,,,,Serbia,,"[0.62890625, 0.3625, 0.64140625, 0.3625, 0.64140625, 0.36944444444444446, 0.62890625, 0.36944444444444446]"
5169,7910400.jpg,"[0.73515625, 0.7027777777777777, 0.91171875, 0.8555555555555555]",811617ae-f59e-458e-b46a-c3c347cbea4f,fully_visible_no_text,,,,Serbia,,"[0.74453125, 0.7708333333333334, 0.75859375, 0.7708333333333334, 0.75859375, 0.7833333333333333, 0.7453125, 0.7833333333333333]"
6907,1740739.jpg,"[0.57890625, 0.6486111111111111, 0.65234375, 0.7597222222222222]",724289b6-b76f-43c9-ab2a-c507e24a900a,invisible,,,,Serbia,,
7989,1740739.jpg,"[0.30078125, 0.4736111111111111, 0.42265625, 0.6625]",d9f5b730-e553-4a68-b3c9-189f9a59b202,fully_visible_no_text,,,,Serbia,,"[0.31328125, 0.6125, 0.3375, 0.6138888888888889, 0.33671875, 0.625, 0.31328125, 0.6236111111111111]"
11639,399360962.jpg,"[0.4515625, 0.6138888888888889, 0.5515625, 0.8291666666666667]",cd429c57-de56-4be8-9e05-8a6479ee6c40,fully_visible_no_text,,,,Serbia,,"[0.49296875, 0.7666666666666667, 0.51328125, 0.7666666666666667, 0.51328125, 0.7777777777777778, 0.49296875, 0.7777777777777778]"
11661,105300195.jpg,"[0.5796875, 0.23333333333333334, 0.82578125, 0.7861111111111111]",c092133c-059a-44c9-af4b-39f2a88109ee,fully_visible_no_text,,,,Serbia,,"[0.7203125, 0.6486111111111111, 0.7203125, 0.6625, 0.68203125, 0.6638888888888889, 0.68125, 0.6472222222222223]"
13429,493380888.jpg,"[0.42578125, 0.6430555555555556, 0.52109375, 0.8430555555555556]",6b4563c8-d3e8-421e-9241-c25af8fce445,fully_visible_no_text,,,,Serbia,,"[0.44296875, 0.7694444444444445, 0.4671875, 0.7708333333333334, 0.4671875, 0.7805555555555556, 0.44296875, 0.7791666666666667]"
14410,1740739.jpg,"[0.81875, 0.5763888888888888, 0.90703125, 0.6958333333333333]",cf1e78f6-9ff6-4220-813d-8204d98572da,fully_visible_no_text,,,,Serbia,,"[0.875, 0.6277777777777778, 0.88984375, 0.6277777777777778, 0.88984375, 0.6333333333333333, 0.87578125, 0.6347222222222222]"
15667,167340173.jpg,"[0.621875, 0.6333333333333333, 0.73203125, 0.7680555555555556]",cf88c77a-9342-4c4b-8162-3e2f4224e515,fully_visible_no_text,,,,Serbia,,"[0.68671875, 0.7055555555555556, 0.709375, 0.7027777777777777, 0.71015625, 0.7125, 0.68671875, 0.7138888888888889]"
17541,1740739.jpg,"[0.21640625, 0.5375, 0.33984375, 0.6833333333333333]",c4615c1b-598b-411c-8eaa-93242f83b954,fully_visible_no_text,,,,Serbia,,"[0.2671875, 0.6361111111111111, 0.26640625, 0.6486111111111111, 0.23984375, 0.6472222222222223, 0.240625, 0.6361111111111111]"
17549,1740739.jpg,"[0.0, 0.6319444444444444, 0.07109375, 0.7652777777777777]",f3dcd3c2-0cc6-466e-bc77-16564c4238ce,invisible,,,,Serbia,,
20965,1740739.jpg,"[0.10625, 0.31666666666666665, 0.296875, 0.5152777777777777]",05484985-e618-4999-8672-e5ab967f6910,fully_visible_no_text,,,,Serbia,,"[0.1265625, 0.44027777777777777, 0.15390625, 0.44166666666666665, 0.1515625, 0.45694444444444443, 0.12421875, 0.45416666666666666]"
